DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
10/17/2025,JT274 TFR-FR 6354125,,17.55,15
10/20/2025,JY114 TFR-TO 6354125,15,,0
10/31/2025,OVERDRAFT INTEREST,0.02,,-0.02
10/31/2025,WITHDRAWAL FEES,1.25,,-1.27
11/3/2025,RI251 TFR-FR 6354125,,1.77,0.5
11/17/2025,251117S7338000WIRE,,632.5,633
11/17/2025,RQ104 TFR-TO 6354125,336.21,,296.79
11/18/2025,RX561 TFR-TO 6354125,46.79,,250
11/18/2025,WI505 TFR-TO 6354125,157.01,,92.99
11/18/2025,WO100 TFR-TO 6354125,42.99,,50
11/21/2025,IX253 TFR-TO 6354125,33.95,,16.05
11/21/2025,JI340 TFR-TO 6354125,11.05,,5
11/24/2025,JC554 TFR-TO 6354125,5,,0
11/28/2025,WITHDRAWAL FEES,8.75,,-8.75
12/5/2025,JG571 TFR-FR 6354125,,15,6.25
12/8/2025,LC355 TFR-TO 6354125,6.25,,0
12/31/2025,OVERDRAFT INTEREST,0.02,,-0.02
12/31/2025,WITHDRAWAL FEES,1.25,,-1.27
1/2/2026,IR552 TFR-FR 6354125,,11.02,9.75
1/2/2026,IR594 TFR-FR 6354125,,5.25,15
1/2/2026,IZ305 TFR-TO 6354125,5,,10
1/5/2026,LU392 TFR-TO 6354125,5,,5
1/5/2026,LX234 TFR-TO 6354125,5,,0
1/30/2026,WITHDRAWAL FEES,3.75,,-3.75
2/13/2026,JH454 TFR-FR 6354125,,5.75,2
2/20/2026,JO230 TFR-TO 6354125,2,,0
2/27/2026,OVERDRAFT INTEREST,0.03,,-0.03
2/27/2026,WITHDRAWAL FEES,1.25,,-1.28
4/29/2025,250429S2617400WIRE,,2472.5,2473.5
5/1/2025,IU115 TFR-TO 6354125,1451.65,,1021.85
5/1/2025,IU142 TFR-TO 6354125,171.85,,850
5/1/2025,IW011 TFR-TO 6354125,149,,701
5/7/2025,HL502 TFR-TO 6354125,214.11,,486.89
5/7/2025,HO133 TFR-TO 6354125,86.89,,400
5/12/2025,LU014 TFR-TO 6354125,150,,250
5/12/2025,LU063 TFR-TO 6354125,50,,200
5/12/2025,LW563 TFR-TO 6354125,162.85,,37.15
5/12/2025,RL300 TFR-TO 6354125,37.15,,0
5/30/2025,WITHDRAWAL FEES,11.25,,-11.25
6/30/2025,OVERDRAFT INTEREST,0.19,,-11.44
7/21/2025,JZ533 TFR-FR 6354125,,21.44,10
7/24/2025,HN262 TFR-TO 6354125,5,,5
7/28/2025,LB575 TFR-TO 6354125,5,,0
7/31/2025,OVERDRAFT INTEREST,0.13,,-0.13
7/31/2025,WITHDRAWAL FEES,2.5,,-2.63
8/5/2025,UL040 TFR-FR 6354125,,80,77.37
8/5/2025,RL402 TFR-TO 6354125,26.11,,51.26
8/5/2025,RR404 TFR-TO 6354125,51.26,,0
8/29/2025,OVERDRAFT INTEREST,0.01,,-0.01
8/29/2025,WITHDRAWAL FEES,2.5,,-2.51
9/29/2025,OVERDRAFT INTEREST,0.04,,-2.55
